"Spectrum","Subfactor","Scale","camel"
"Detachment",NA,"Restricted Affectivity","restrictedAffectivity"
"Detachment",NA,"Romantic Disinterest","romanticDisinterest"
"Detachment",NA,"Social Aloofness","socialAloofness"
"Detachment",NA,"Social Anxiety","socialAnxiety"
"Detachment",NA,"Submissiveness","submissiveness"
"Detachment",NA,"Well-being","wellBeing"
"Externalizing","Anankastia","Hyperdeliberation","hyperdeliberation"
"Externalizing","Anankastia","Perfectionism","perfectionism"
"Externalizing","Anankastia","Rigidity","rigidity"
"Externalizing","Anankastia","Risk Aversion","riskAversion"
"Externalizing","Anankastia","Workaholism","workaholism"
"Externalizing","Antagonism","Callousness","callousness"
"Externalizing","Antagonism","Dishonesty","dishonesty"
"Externalizing","Antagonism","Domineering","domineering"
"Externalizing","Antagonism","Entitlement","entitlement"
"Externalizing","Antagonism","Exhibitionism","exhibitionism"
"Externalizing","Antagonism","Grandiosity","grandiosity"
"Externalizing","Antagonism","Social Aggression","socialAggression"
"Externalizing","Antisocial","Antisocial Behavior","antisocialBehavior"
"Externalizing","Antisocial","Oppositionality","oppositionality"
"Externalizing","Disinhibition","Disorganization","disorganization"
"Externalizing","Disinhibition","Gambling","gambling"
"Externalizing","Disinhibition","Gaming","gaming"
"Externalizing","Disinhibition","Non-persistence","nonPersistence"
"Externalizing","Disinhibition","Non-planfulness","nonPlanfulness"
"Externalizing","Disinhibition","Problematic Shopping","problematicShopping"
"Externalizing","Disinhibition","Restlessness","restlessness"
"Externalizing","Disinhibition","Risk Taking","riskTaking"
"Internalizing","Distress","Cognitive Problems","cognitiveProblems"
"Internalizing","Distress","Distress-Dysphoria","distressDysphoria"
"Internalizing","Distress","Emotionality","emotionality"
"Internalizing","Distress","Insomnia","insomnia"
"Internalizing","Distress","NSSI","nssi"
"Internalizing","Distress","Nightmares","nightmares"
"Internalizing","Distress","Suicidality","suicidality"
"Internalizing","Eating Pathology","Appetite Loss","appetiteLoss"
"Internalizing","Eating Pathology","Binge Eating","bingeEating"
"Internalizing","Eating Pathology","Body Dissatisfaction","bodyDissatisfaction"
"Internalizing","Eating Pathology","Body Focus","bodyFocus"
"Internalizing","Eating Pathology","Dietary Restraint","dietaryRestraint"
"Internalizing","Eating Pathology","Excessive Exercise","excessiveExercise"
"Internalizing","Eating Pathology","Food Selectivity","foodSelectivity"
"Internalizing","Eating Pathology","Muscle Building","muscleBuilding"
"Internalizing","Eating Pathology","Purging","purging"
"Internalizing","Eating Pathology","Restricted Eating","restrictedEating"
"Internalizing","Fear","Agoraphobia","agoraphobia"
"Internalizing","Fear","Checking","checking"
"Internalizing","Fear","Cleaning","cleaning"
"Internalizing","Fear","Counting","counting"
"Internalizing","Fear","Excoriation","excoriation"
"Internalizing","Fear","Hoarding","hoarding"
"Internalizing","Fear","Hypervigilance","hypervigilance"
"Internalizing","Fear","Panic","panic"
"Internalizing","Fear","Specific Phobia Index","specificPhobiaIndex"
"Internalizing","Fear","Trauma Reactions","traumaReactions"
"Internalizing","Fear","Trichotillomania","trichotillomania"
"Internalizing","Sexual Problems","Difficulties Reaching Orgasm","difficultiesReachingOrgasm"
"Internalizing","Sexual Problems","Low Sexual Arousal","lowSexualArousal"
"Internalizing","Sexual Problems","Low Sexual Interest","lowSexualInterest"
"Internalizing","Sexual Problems","Paraphilias","paraphilias"
"Internalizing","Sexual Problems","Premature Orgasm","prematureOrgasm"
"Internalizing","Sexual Problems","Risky Sex","riskySex"
"Internalizing","Sexual Problems","Sex-Related Substance Use","sexRelatedSubstanceUse"
"Internalizing","Sexual Problems","Sexual Distress","sexualDistress"
"Internalizing","Sexual Problems","Sexual Pain","sexualPain"
"Internalizing-Thought Disorder",NA,"Manic Energy","manicEnergy"
"Somatoform",NA,"Bodily Distress","bodilyDistress"
"Somatoform",NA,"Conversion Symptoms","conversionSymptoms"
"Somatoform",NA,"Disease Conviction","diseaseConviction"
"Somatoform",NA,"Health Anxiety","healthAnxiety"
"Somatoform",NA,"Somatic Preoccupation","somaticPreoccupation"
"Thought Disorder",NA,"Dissociation","dissociation"
"Thought Disorder",NA,"Eccentricity","eccentricity"
"Thought Disorder",NA,"Fantasy Proneness","fantasyProneness"
"Thought Disorder",NA,"Mistrust","mistrust"
"Thought Disorder",NA,"Reality Distortion","realityDistortion"
